1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID,(I) INCUMBENT INDICATOR,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (GA),GE RUNOFF ELECTION % (GA),COMBINED GE PARTY TOTALS (when applicable),COMBINED GE PARTY % (when applicable),PE WINNER INDICATOR,GE WINNER INDICATOR,FOOTNOTES,1ST ROUND RCV VOTES,1ST ROUND RCV %,2ND ROUND RCV VOTES,2ND ROUND RCV %,3RD ROUND RCV VOTES,3RD ROUND RCV %,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AL,Alabama,S,S2AL00145,,Katie,Britt,"Britt, Katie",,R,"289,425",44.75%,"253,251",63.02%,"942,154",66.62%,,,,,W,W,,,,,,,,,,,,,
4,AL,Alabama,S,S8AL00381,,Mo,Brooks,"Brooks, Mo",,R,"188,539",29.15%,"148,636",36.98%,,,,,,,,,,,,,,,,,,,,,
5,AL,Alabama,S,S2AL00202,,Mike,Durant,"Durant, Mike",,R,"150,817",23.32%,,,,,,,,,,,,,,,,,,,,,,,
6,AL,Alabama,S,S2AL00160,,Jake,Schafer,"Schafer, Jake",,R,"7,371",1.14%,,,,,,,,,,,,,,,,,,,,,,,
7,AL,Alabama,S,S2AL00228,,Karla M.,Dupriest,"Dupriest, Karla M.",,R,"5,739",0.89%,,,,,,,,,,,,,,,,,,,,,,,
8,AL,Alabama,S,S2AL00194,,Lillie,Boddie,"Boddie, Lillie",,R,"4,849",0.75%,,,,,,,,,,,,,,,,,,,,,,,
9,AL,Alabama,S,n/a,,,,,Party Votes:,R,"646,740",,"401,887",,,,,,,,,,,,,,,,,,,,,,
10,AL,Alabama,S,S2AL00251,,Will,Boyd,"Boyd, Will",,D,"107,588",63.72%,,,"436,746",30.88%,,,,,W,,,,,,,,,,,,,,
11,AL,Alabama,S,S2AL00111,,Brandaun,Dean,"Dean, Brandaun",,D,"32,863",19.46%,,,,,,,,,,,,,,,,,,,,,,,
12,AL,Alabama,S,S2AL00236,,Lanny,Jackson,"Jackson, Lanny",,D,"28,402",16.82%,,,,,,,,,,,,,,,,,,,,,,,
13,AL,Alabama,S,n/a,,,,,Party Votes:,D,"168,853",,,,,,,,,,,,,,,,,,,,,,,,
14,AL,Alabama,S,S2AL00293,,John,Sophocleus ,"Sophocleus, John ",,LIB,,,,,"32,879",2.32%,,,,,,,,,,,,,,,,,,,
15,AL,Alabama,S ,n/a,,,Scattered,Scattered ,,W,,,,,"2,459",0.17%,,,,,,,,,,,,,,,,,,,
16,AL,Alabama,S,n/a,,,,,Total State Votes:,,"815,593",,"401,887",,"1,414,238",,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AK,Alaska,S,S4AK00099,(I),Lisa ,Murkowski,"Murkowski, Lisa ",,R,"85,794",45.05%,,,"113,495",43.37%,,,,,W,W,"*  Alaska utilized a Ranked Choice Voting (RCV) method for the general election and a ""Top 4"" method for the primary election.  In Alaska's ""Top 4"" primary election method, the top four vote-getters in the primary election advance to the general election regardless of party affiliation.  For the general election, the votes shown in the general election column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting (RCV) rounds are shown in columns Y through AD.","114,118",43.39%,"115,759",44.49%,"136,330",53.70%,,,,,,
19,AK,Alaska,S,S2AK00127,,Kelly C. ,Tshibaka,"Tshibaka, Kelly C. ",,R,"73,414",38.55%,,,"111,480",42.60%,,,,,W,,"*  Alaska utilized a Ranked Choice Voting (RCV) method for the general election and a ""Top 4"" method for the primary election.  In Alaska's ""Top 4"" primary election method, the top four vote-getters in the primary election advance to the general election regardless of party affiliation.  For the general election, the votes shown in the general election column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting (RCV) rounds are shown in columns Y through AD.","112,101",42.62%,"115,310",44.32%,"117,534",46.30%,,,,,,
20,AK,Alaska,S,S2AK00226,,Patricia R.,Chesbro,"Chesbro, Patricia R.",,D,"12,989",6.82%,,,"27,145",10.37%,,,,,W,,"*  Alaska utilized a Ranked Choice Voting (RCV) method for the general election and a ""Top 4"" method for the primary election.  In Alaska's ""Top 4"" primary election method, the top four vote-getters in the primary election advance to the general election regardless of party affiliation.  For the general election, the votes shown in the general election column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting (RCV) rounds are shown in columns Y through AD.","28,233",10.73%,"29,134",11.20%,0,0.00%,,,,,,
21,AK,Alaska,S,S2AK00242,,Buzz A.,Kelley,"Kelley, Buzz A.",,R,"4,055",2.13%,,,"7,557",2.89%,,,,,W,,"*  Alaska utilized a Ranked Choice Voting (RCV) method for the general election and a ""Top 4"" method for the primary election.  In Alaska's ""Top 4"" primary election method, the top four vote-getters in the primary election advance to the general election regardless of party affiliation.  For the general election, the votes shown in the general election column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting (RCV) rounds are shown in columns Y through AD.","8,575",3.26%,0,0.00%,0,0.00%,,,,,,
22,AK,Alaska,S,n/a,,,Scattered,Scattered,,W,,,,,"2,028",0.77%,,,,,,,"*  Alaska utilized a Ranked Choice Voting (RCV) method for the general election and a ""Top 4"" method for the primary election.  In Alaska's ""Top 4"" primary election method, the top four vote-getters in the primary election advance to the general election regardless of party affiliation.  For the general election, the votes shown in the general election column are the official 1st Choice General Vote Summary Results. Ranked Choice Voting (RCV) rounds are shown in columns Y through AD.",,,,,,,,,,,,
23,AK,Alaska,S,S2AK00259,,Pat L. ,Nolin,"Nolin, Pat L. ",,R,"2,004",1.05%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
24,AK,Alaska,S,S6AK00177,,Edgar ,Blatchford,"Blatchford, Edgar ",,D,"1,981",1.04%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
25,AK,Alaska,S,S2AK00192,,Ivan R. ,Taylor,"Taylor, Ivan R.",,D,"1,897",1.00%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
26,AK,Alaska,S,S2AK00234,,"Samuel A. ""Al""",Merrill,"Merrill, Samuel A. ""Al""",,R,"1,529",0.80%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
27,AK,Alaska,S,S2AK00168,,Sean M.,Thorne,"Thorne, Sean M.",,LIB,"1,399",0.73%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
28,AK,Alaska,S,S2AK00218,,Shoshana,Gungurstein,"Gungurstein, Shoshana",,N,853,0.45%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
29,AK,Alaska,S,S2AK00176,,Joe T.,Stephens,"Stephens, Joe T.",,AKI,805,0.42%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
30,AK,Alaska,S,S2AK00267,,John,Scheiss,"Scheiss, John",,R,734,0.39%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
31,AK,Alaska,S,S2AK00143,,Dustin T. ,Darden,"Darden, Dustin T. ",,AKI,649,0.34%,,,,,,,,,,,Top 4 Primary System.,,,,,,,,,,,,
